Name,Current price,Change(%),Open,High,Low,Volume
PERFORMANT FINANCIAL,3.66,0.27,3.63,3.66,3.56,115259
CAPTIVISION INC.,1.97,11.5,2.1,2.14,1.94,115244
PERPETUA RESOURCES,5.8,10.34,5.8,5.91,5.71,114822
UNIVERSAL STAINLESS & ALLOY PRODUCTS,36.53,10.03,36.57,37.85,36.25,114595
REPARE THERAPEUTICS INC.,2.89,13.67,2.99,3.04,2.78,114531
ICAD INC.,1.27,1.6,1.28,1.31,1.22,113943
NISUN INTL ENTERPRISE DEVELOPMENT GROUP,10.25,3.85,9.83,10.39,9.5,113850
STRATEGIC EDUCATION INC.,94.64,0.28,94.31,95.11,93.82,113694
GLADSTONE INVESTMENT,12.9,1.34,12.78,12.94,12.75,113379
MGP INGREDIENTS INC.,84.11,10.32,84.26,84.67,82.62,113377
WIMI HOLOGRAM CLOUD INC. ADS,0.74,0.0,0.759,0.76,0.725,113210
ACUMEN PHARMACEUTICALS INC.,2.64,13.65,2.73,2.75,2.61,113167
ENVERIC BIOSCIENCES INC.,0.5501,11.43,0.56,0.566,0.53,112925
GRIID INFRASTRUCTURE INC.,0.9975,12.21,1.01,1.0575,0.97,112258
ACHILLES THERAPEUTICS PLC ADS,0.7716,11.08,0.7801,0.79,0.7411,112211
KURA SUSHI USA INC.,57.66,10.55,57.87,58.27,56.62,111958
FENNEC PHARMACEUTICALS INC.,5.93,12.47,6.05,6.17,5.92,111812
CARA THERAPEUTICS INC.,0.3482,10.8,0.36,0.3684,0.3411,111559
C3IS INC.,1.24,0.0,1.24,1.26,1.2,111341
IES HOLDINGS INC.,164.01,11.35,165.65,167.19,162.42,111043
LEXEO THERAPEUTICS INC.,11.5,11.63,11.76,12.05,11.46,110947
SURO CAPITAL,3.81,1.33,3.65,3.92,3.65,110510
NUKKLEUS INC.,0.2947,2.15,0.2898,0.3,0.2766,110258
CIMPRESS PLC,82.84,11.38,83.77,84.29,81.84,110250
MALIBU BOATS INC.,35.18,0.0,35.43,35.43,34.49,110109
MELAR ACQUISITION,9.98,10.1,9.99,9.99,9.97,109961
HARBORONE BANCORP INC.,12.17,1.16,12.01,12.17,11.94,109771
ONCOLYTICS BIOTECH INC.,0.9702,11.57,0.99,0.99,0.97,109489
SHATTUCK LABS INC.,3.04,10.33,3.04,3.13,2.98,109002
PSYENCE BIOMEDICAL,0.5294,13.18,0.5574,0.5574,0.5034,108968
WINVEST ACQUISITION,0.1279,0.0,0.128,0.128,0.1278,108951
NWTN INC.,1.02,27.5,0.85,1.1,0.85,108870
QUOIN PHARMACEUTICALS,0.4956,15.46,0.49,0.5398,0.49,108674
SOUTHSIDE BANCSHARES INC.,31.51,10.63,31.82,31.82,30.92,108403
ONEWATER MARINE INC.,22.12,11.21,22.56,22.65,22.01,108082
GAMESQUARE HOLDINGS INC.,1.12,1.82,1.08,1.12,1.08,108053
GRAVITY CO. LTD. ADS,66.44,111.12,68.99,69.0,64.46,108026
NEUROGENE INC.,35.59,12.63,36.2,37.74,35.5,107518
FIRST FINANCIAL NORTHWEST INC.,21.1,10.19,21.02,21.23,20.66,107261
SYNCHRONOSS TECHNOLOGIES INC.,11.5,2.68,11.2,11.74,11.2,107247
TIAN RUIXIANG HLD.,1.85,4.52,1.79,1.85,1.7,107243
XILIO THERAPEUTICS INC.,0.8674,0.98,0.865,0.898,0.831,107200
EIGHTCO HOLDINGS INC.,0.264,4.76,0.2544,0.264,0.252,106901
CALAMOS GLOBAL DYNAMIC,6.7,0.75,6.63,6.71,6.55,106419
CHINA SXT PHARMACEUTICALS INC.,1.0,0.0,1.04,1.05,0.99,106066
CALAMOS CONVERTIBLE OPPORTUNITIES AND,11.02,10.81,11.02,11.08,10.94,105852
LANCASTER COLONY,192.3,0.01,191.81,192.8,189.75,105426
LIBERTY BROADBAND,63.64,10.27,63.98,64.15,62.95,105297
U-BX TECHNOLOGY,11.1,13.73,9.83,11.89,9.83,105258
AFFIMED N.V.,4.1,12.84,4.22,4.25,3.89,105232
NEWAMSTERDAM PHARMA CO.,17.39,2.84,17.08,17.52,16.9,105142
FOUR LEAF ACQUISITION,11.01,0.0,11.01,11.01,11.01,105032
VIRCO MANUFACTURING,14.58,0.21,14.54,14.75,14.31,104637
CRESCENT CAPITAL BDC INC.,17.81,0.28,17.92,17.94,17.66,104555
ADVERUM BIOTECHNOLOGIES INC.,6.56,15.2,6.92,7.04,6.55,104537
PALLADYNE AI CORP.,1.65,4.43,1.6,1.72,1.56,104418
LUCID DIAGNOSTICS INC.,0.79,1.06,0.78,0.794,0.7522,104228
GRAND CANYON EDUCATION INC.,143.49,0.1,143.98,144.14,142.66,104133
JVSPAC ACQUISITION,10.21,0.0,10.23,10.23,10.21,103530
CO-DIAGNOSTICS INC.,1.12,9.8,1.07,1.15,1.05,103355
PARAMOUNT GLOBAL,23.14,0.61,23.16,23.43,22.92,103011
GORILLA TECHNOLOGY GROUP INC.,2.27,12.58,2.39,2.39,2.25,102943
GOGORO INC.,1.25,14.58,1.31,1.32,1.23,102778
CALIFORNIA BANCORP,14.36,11.44,14.5,14.64,14.29,102532
STEALTHGAS INC.,5.83,0.52,5.8,5.88,5.76,102281
LINCOLN EDUCATIONAL SERVICES,11.98,11.64,12.17,12.24,11.84,102094
VYNE THERAPEUTICS INC.,1.63,17.91,1.76,1.84,1.62,102079
OUTLOOK THERAPEUTICS INC.,7.34,11.08,7.44,7.55,7.29,101912
GENERATION BIO CO.,2.35,12.08,2.42,2.43,2.24,101615
BOK FINANCIAL CORP.,97.45,10.35,97.61,98.4,96.62,101605
NV5 GLOBAL INC.,95.75,11.82,97.37,98.01,95.69,101601
MONTE ROSA THERAPEUTICS INC.,3.94,11.01,4.01,4.18,3.85,101335
JAGUAR HEALTH INC.,1.11,0.0,1.13,1.13,1.1,101188
PRICESMART INC.,82.69,0.76,82.01,82.79,81.13,100984
BIONEXUS GENE LAB CORP,0.4313,13.23,0.458,0.47,0.43,100958
DAVIS COMMODITIES,1.04,15.45,1.05,1.12,1.03,100919
INTELLIGENT GROUP,0.94,11.05,0.93,0.98,0.9,100875
NATURE S SUNSHINE PRODUCTS,12.63,113.85,13.72,13.72,12.51,100777
ENTERPRISE FINANCIAL SERVICES,48.34,10.37,48.55,48.55,47.78,100459
GUARDFORCE AI CO.,1.49,11.32,1.5,1.54,1.46,100354
LAVA THERAPEUTICS N.V.,1.77,0.57,1.89,1.89,1.73,100338
ABIVAX SA ADS,11.19,10.36,11.29,11.4,11.09,100251
TECHNOLOGY & TELECOMMUNICATION ACQUISIT,12.05,0.0,12.1,12.1,12.05,100100
WILLDAN GROUP INC.,35.84,10.55,36.15,36.68,35.5,100088
CARTESIAN GROWTH,11.35,0.0,11.35,11.35,11.35,100000
THE DESCARTES SYSTEMS GROUP,96.5,1.41,95.03,96.81,94.72,99307
SMART FOR LIFE INC.,1.4,1.45,1.35,1.43,1.31,99272
HURON CONSULTING GROUP INC.,103.56,0.43,102.93,103.56,101.84,99214
1ST SOURCE CORP.,57.04,10.77,57.44,57.51,56.63,98805
CHICAGO ATLANTIC REAL ESTATE FINANCE,14.84,12.62,15.25,15.25,14.82,98739
ENANTA PHARMACEUTICALS INC.,12.58,16.75,13.49,13.49,12.55,98661
ARQ INC.,5.44,13.2,5.63,5.7,5.42,98569
HERAMBA ELECTRIC PLC,2.35,18.56,2.65,2.65,2.33,98456
COSMOS HEALTH INC.,1.08,13.57,1.13,1.16,1.07,98233
BROADWIND INC.,2.64,10.75,2.66,2.71,2.58,98160
AURA BIOSCIENCES INC.,8.3,12.01,8.45,8.56,8.01,98121
BAOZUN INC. ADS,2.27,10.87,2.26,2.29,2.23,98033
ORGENESIS INC.,0.728,17.45,0.77,0.7899,0.68,97779
IMMUNOPRECISE ANTIBODIES,0.7299,14.58,0.78,0.78,0.694,97363
MULTIMETAVERSE HOLDINGS,0.5456,2.33,0.54,0.59,0.54,97305
S&T BANCORP INC.,39.51,11.23,39.99,39.99,39.1,97034
ORRSTOWN FINANCIAL SERVICES,32.26,10.31,32.29,32.66,31.62,96829
ENTRADA THERAPEUTICS INC.,14.02,12.98,14.38,14.69,13.76,96806
APYX MEDICAL CORP.,1.04,1.96,1.19,1.19,1.02,96704
FOGHORN THERAPEUTICS INC.,5.25,0.19,5.19,5.52,5.08,96642
PURE CYCLE CORP.,9.98,1.63,9.86,10.04,9.69,96132
374WATER INC.,0.9907,17.41,1.08,1.09,0.9824,96077
GRI BIO INC.,0.52,1.98,0.495,0.52,0.4915,95902
KAISER ALUMINUM,68.06,0.53,68.11,68.82,66.77,95831
WINDTREE THERAPEUTICS INC.,12.36,15.41,10.26,12.51,10.0,95297
RADWARE,21.47,12.05,21.95,22.03,21.45,95135
TWFG INC.,24.5,0.49,24.38,24.93,23.87,95118
HEIDRICK & STRUGGLES INTERNATIONAL,36.25,0.06,36.1,36.35,35.62,94961
CHINA LIBERAL EDUCATION HLD.,0.2224,1.05,0.226,0.226,0.2121,94527
ARYA SCIENCES ACQUISITION CORP IV,6.64,0.0,8.75,8.75,6.25,94462
ALIMERA SCIENCES INC.,5.59,0.36,5.57,5.59,5.56,94069
LOBO EV TECHNOLOGIES,2.76,9.52,3.05,3.05,2.6,93753
ASTEC INDUSTRIES INC.,31.78,0.13,31.75,31.86,31.34,93614
LANTERN PHARMA INC.,3.9,17.8,4.25,4.34,3.66,92875
MORNINGSTAR INC.,305.47,0.03,305.39,306.71,302.43,92699
ESSA PHARMA INC.,4.64,12.32,4.75,4.75,4.27,92430
HYDROFARM HLD.,0.543,0.37,0.5702,0.5702,0.543,92246
CARDIOL THERAPEUTICS INC.,2.01,10.99,2.02,2.03,1.95,91932
BRAINSWAY LTD. ADS,6.99,1.9,6.92,7.16,6.86,91503
ISRAEL ACQUISITIONS CORP,11.1,0.0,11.1,11.11,11.1,91499
LIXIANG EDUCATION HOLDING CO.,0.2507,0.68,0.2523,0.2561,0.241,91424
AMERICAN WOODMARK,89.26,0.07,89.2,90.34,88.86,91420
BANNER CORP.,53.61,10.46,53.68,53.85,53.16,91382
GOLDEN SUN HEALTH TECHNOLOGY GROUP,7.98,1.66,7.84,8.94,7.66,91271
MIDLAND STATES BANCORP INC.,21.1,0.33,21.01,21.1,20.63,91063
RESEARCH FRONTIERS INC.,2.31,3.59,2.02,2.35,2.02,91035
LARGO INC.,1.78,18.72,1.91,1.92,1.77,90705
THE FIRST OF LONG ISLAND,11.94,0.42,11.89,11.97,11.63,90518
GREENIDGE GENERATION HLD.,2.02,12.42,2.02,2.1,2.01,90460
PEOPLES BANCORP INC.,29.37,10.88,29.6,29.61,29.08,90394
TRANSCAT INC.,116.02,10.56,116.56,119.69,114.99,90391
MOBIX LABS INC.,1.06,0.95,1.05,1.1,0.99,89952
MGE ENERGY INC.,84.85,0.39,84.47,85.03,82.9,89860
GENELUX CORP.,2.13,3.4,2.05,2.16,2.0,89613
STERLING CHECK CORP.,15.35,11.1,15.5,15.58,15.35,89569
PRIMEGA GROUP HOLDINGS,5.51,112.54,6.43,6.65,5.51,88718
WEARABLE DEVICES,0.3582,11.08,0.36,0.378,0.345,88687
COLUMBUS MCKINNON,32.68,12.13,33.23,33.23,32.47,88629
THE SINGING MACHINE CO.,0.5497,7.45,0.5389,0.5616,0.5016,88220
DIGITAL BRANDS GROUP INC.,1.06,7.07,0.99,1.09,0.9,88210
VIVOPOWER INTERNATIONAL PLC,1.86,8.77,1.73,1.89,1.73,88203
BTCS INC.,1.3,12.26,1.33,1.36,1.28,87648
SUNRISE NEW ENERGY CO. LTD,0.7392,11.16,0.69,0.77,0.68,87621
STRATTEC SECURITY,30.0,26.05,27.67,30.32,25.9,87459
EDAP TMS S.A. ADS,4.4,18.33,4.85,4.85,4.24,87090
SCHMID GROUP N.V.,3.95,16.4,4.25,4.25,3.66,87044
INTEVAC INC.,3.73,0.27,3.7,3.75,3.6,86999
WHITEHORSE FINANCE,11.46,1.78,11.32,11.47,11.26,86954
COLLIERS INTERNATIONAL GROUP,133.68,10.49,135.07,135.22,133.3,86862
NEPHROS INC.,1.96,17.98,2.0,2.09,1.92,86631
FENBO HOLDINGS LTD.,8.46,117.06,10.24,11.29,8.25,86425
CLENE INC.,5.06,14.74,4.42,5.4,4.22,86291
AADI BIOSCIENCE INC.,1.39,2.96,1.36,1.41,1.33,86045
GAMBLING.COM GROUP,8.85,11.88,9.03,9.11,8.85,85656
GREENLIGHT REINSURANCE,12.47,10.32,12.53,12.53,12.43,85593
INTER PARFUMS INC.,130.96,12.43,133.14,133.14,129.79,85411
NEURONETICS INC.,1.78,14.81,1.89,1.89,1.78,85126
SAFE AND GREEN DEVELOPMENT,0.2249,10.04,0.221,0.234,0.2201,84704
HOMESTREET INC.,14.44,10.21,14.42,14.59,14.22,84520
CHECHE GROUP INC.,0.782,12.49,0.7966,0.8376,0.751,84447
APPTECH PAYMENTS,0.945,2.66,0.93,0.9643,0.8801,84429
XCHANGE TEC.INC ADS,1.1,13.51,1.17,1.17,1.0,84414
PMV PHARMACEUTICALS INC.,1.44,11.37,1.47,1.49,1.42,84373
PATRICK INDUSTRIES INC.,119.3,10.26,119.29,121.18,118.65,84284
LANDS END INC.,14.46,11.9,14.71,14.85,14.43,84211
L.B. FOSTER COMPANY,18.23,1.22,17.88,18.39,17.52,84178
LIBERTY MEDIA CORP.,38.15,0.9,37.85,38.18,37.28,84135
GROM SOCIAL ENTERPRISES INC.,0.209,14.78,0.2079,0.2258,0.2003,84087
EGAIN CORP.,6.91,4.7,6.68,6.92,6.68,83801
INGLES MARKETS INC.,74.26,10.24,74.38,74.39,73.29,83510
EAGLE PHARMACEUTICALS INC.,4.09,11.45,4.14,4.16,3.9,83502
TRUSTCO BANK CORP NY,32.3,10.37,32.33,32.37,31.63,83488
ISPIRE TECHNOLOGY INC.,7.4,9.96,6.73,7.64,6.69,82962
ADIAL PHARMACEUTICALS INC,0.99,1.02,0.97,1.025,0.96,82625
GENASYS INC.,2.71,0.37,2.72,2.82,2.6,82518
UNIVEST FINANCIAL,25.6,10.74,25.71,25.71,25.25,82485
WISA TECHNOLOGIES INC.,1.79,12.72,1.82,1.86,1.75,82309
PEOPLES FINANCIAL SERVICES,42.92,14.56,44.7,44.96,42.91,81883
LIFECORE BIOMEDICAL INC.,5.01,10.2,5.0,5.07,4.82,81684
SAI.TECH GLOBAL,0.86,9.89,0.771,0.87,0.7448,81568
JASPER THERAPEUTICS INC.,16.34,10.49,16.34,16.53,15.77,81513
ARRIVENT BIOPHARMA INC.,21.73,14.9,22.7,23.27,21.36,81269
LITTELFUSE INC.,242.77,0.06,243.1,245.1,240.56,81076
KLX ENERGY SERVICES HLD.,5.97,11.81,6.14,6.14,5.82,80876
PAINREFORM,0.3195,9.04,0.293,0.345,0.293,80591
GREENLANE HOLDINGS INC.,2.47,17.84,2.67,2.84,2.33,80576
NATIONAL RESEARCH,21.18,0.62,20.97,21.48,20.78,80498
KRONOS BIO INC.,1.03,17.21,1.11,1.14,1.03,80371
MAGIC EMPIRE GLOBAL,0.4868,12.66,0.5,0.505,0.4595,80229
BIOMERICA INC.,0.3279,9.67,0.314,0.33,0.2939,80181
STONEX GROUP INC.,76.72,10.08,76.61,77.16,75.78,79958
SOLIGENIX INC.,3.14,0.0,3.15,3.29,3.06,79687
IVEDA SOLUTIONS INC.,0.4,12.91,0.4284,0.4395,0.38,79248
PRELUDE THERAPEUTICS INC.,5.1,16.25,5.47,5.61,4.99,78884
BANCFIRST CORP.,99.98,0.72,98.84,100.67,98.1,78768
AEYE INC.,1.16,14.13,1.23,1.23,1.15,78658
HARVARD BIOSCIENCE INC.,2.91,16.73,3.1,3.1,2.9,78393
PEAPACK-GLADSTONE FINANCIAL,25.64,11.23,26.05,26.22,25.27,78329
IMPERIAL PETROLEUM INC.,3.8,1.06,3.75,3.84,3.7,78187
PORTMAN RIDGE FINANCE,18.65,12.41,18.72,18.84,18.6,77732
TELESIS BIO INC.,3.67,0.82,3.87,4.23,3.61,77625
PC CONNECTION INC.,67.21,13.11,68.97,69.35,67.21,77480
JAKKS PACIFIC INC.,21.0,10.62,21.07,21.19,20.76,77263
SPOK HOLDINGS INC.,14.87,0.0,14.87,14.94,14.64,77084
WD-40 COMPANY,250.74,10.93,253.09,253.09,249.24,77078
PRAIRIE OPERATING CO.,9.29,14.83,8.5,9.55,8.5,77020
VIVAKOR INC.,1.91,12.55,2.0,2.02,1.9,76886
PROFIRE ENERGY INC.,1.57,15.99,1.69,1.69,1.56,76729
IRON HORSE ACQUISITIONS,0.2301,0.0,0.23,0.2301,0.23,76700
PHOENIX MOTOR INC.,0.453,10.66,0.443,0.4742,0.443,76622
IPOWER INC.,1.26,0.0,1.25,1.29,1.25,76601
TRIUMPH FINANCIAL INC.,81.07,11.59,82.05,82.19,80.29,76515
YATRA ONLINE INC.,1.38,1.47,1.36,1.39,1.36,76424
CONTEXT THERAPEUTICS INC.,2.29,14.58,2.49,2.5,2.23,76395
CLEARFIELD INC.,39.43,0.08,39.67,40.01,38.91,75702
AI TRANSPORTATION ACQUISITION CORP RIGH,0.17,0.0,0.17,0.176,0.17,75624
ICF INTERNATIONAL INC.,155.96,11.18,158.01,158.22,155.64,75483
SERA PROGNOSTICS INC.,7.4,10.13,7.32,7.5,7.18,75158
DIRECT DIGITAL HLD.,3.23,15.28,3.47,3.5,3.14,75013
FORRESTER RESEARCH INC.,18.06,10.77,18.2,18.43,18.0,75008
AI TRANSPORTATION ACQUISITION CORP UNIT,10.57,0.0,10.57,10.57,10.57,75001
BLACK HAWK ACQUISITION,10.36,0.0,10.36,10.36,10.36,75000
OLYMPIC STEEL INC.,40.61,13.15,41.97,41.97,40.0,74888
PLUS THERAPEUTICS INC.,1.45,16.45,1.56,1.59,1.37,74726
MAIDEN HOLDINGS LTD.,1.65,18.84,1.8,1.84,1.64,74521
INHIBRX BIOSCIENCES INC.,11.04,13.5,11.41,11.46,10.99,74494
IRADIMED CORP.,44.45,1.23,43.72,44.86,43.58,74235
VS MEDIA HOLDINGS,0.755,15.63,0.776,0.8091,0.75,74233
APOGEE ENTERPRISES INC.,61.98,0.85,61.34,62.06,61.08,74131
GSI TECHNOLOGY INC.,2.25,0.0,2.18,2.26,2.16,73992
SIMULATIONS PLUS INC.,36.87,0.05,36.65,37.04,36.31,73786
ADDUS HOMECARE CORP.,124.63,0.13,124.67,125.81,123.52,73363
RICHARDSON ELECTRONICS,11.45,0.97,11.31,11.49,11.22,72403
QUIPT HOME MEDICAL,3.26,11.51,3.3,3.3,3.2,72302
CITI TRENDS INC.,16.28,11.75,16.55,16.76,16.18,72152
INSPIRATO INC.,3.67,11.87,3.56,3.89,3.54,72006
WASHINGTON TRUST BANCORP INC.,28.67,10.38,28.9,30.18,28.25,72001
ORCHESTRA BIOMED HLD.,6.19,16.5,6.54,6.84,6.02,71835
TREVI THERAPEUTICS INC.,2.86,2.14,2.82,3.04,2.82,71789
KWESST MICRO SYSTEMS INC.,0.2449,0.66,0.2414,0.2508,0.238,71543
POLAR POWER INC.,0.41,6.33,0.4137,0.419,0.375,71379
LIFEVANTAGE CORP.,7.84,6.23,7.38,8.0,7.38,71265
UTIME LTD.,1.2,17.69,1.27,1.27,1.18,71243
SIYATA MOBILE INC.,3.15,0.96,3.05,3.31,2.98,71141
A2Z SMART TECHNOLOGIES,0.7719,2.93,0.7221,0.7938,0.7221,70669
BANK OF MARIN BANCORP,17.98,10.44,18.02,18.09,17.75,70666
FARMERS NATIONAL BANC,13.71,10.72,13.75,13.85,13.58,70295
J & J SNACK FOODS,169.0,10.46,168.98,169.31,167.12,70177
SEASTAR MEDICAL HOLDING,7.43,15.23,7.87,7.93,7.36,70069
ROADZEN INC.,1.39,10.32,1.26,1.39,1.24,69588
NEXALIN TECHNOLOGY INC.,0.9481,4.51,0.88,0.99,0.88,69497
NORTHEAST COMMUNITY BANCORP,21.05,0.29,20.97,21.09,20.81,69485
AC IMMUNE SA,3.28,14.65,3.44,3.44,3.25,69310
ENSTAR GROUP LTD.,321.3,0.28,320.26,321.96,319.91,69125
QUANTUM CORP.,0.3201,2.6,0.3094,0.326,0.3094,68905
LUOKUNG TECHNOLOGY CORP,0.72,4.27,0.6698,0.7284,0.63,68414
CLEARSIGN TECHNOLOGIES,0.705,5.22,0.68,0.72,0.663,68337
MANITEX INTERNATIONAL INC.,3.81,15.22,3.88,4.0,3.78,67873
THE JOINT CORP.,11.3,18.35,11.85,12.23,10.98,67862
INSPIRA TECHNOLOGIES OXY B.H.N.,0.98,0.0,0.9899,0.995,0.94,67620
CLEARSIDE BIOMEDICAL INC.,1.09,2.83,1.05,1.09,1.02,67524
WORKSPORT LTD.,0.7049,1.03,0.73,0.73,0.69,67472
VIEMED HEALTHCARE INC.,7.26,1.11,7.18,7.4,7.14,67440
ALUMIS INC.,11.96,12.05,12.34,12.51,11.66,67356
FIRST CITIZENS BANCSHARES INC.,1974.15,0.65,1961.05,1982.4,1939.43,67240
BURKE & HERBERT FINANCIAL SERVICES,60.36,0.57,60.12,60.46,58.72,67139
OCUPHIRE PHARMA INC.,1.67,14.02,1.71,1.77,1.65,67047
ASURE SOFTWARE INC,8.19,10.24,8.26,8.26,8.05,66696
CHURCHILL CAPITAL CORP IX,10.03,0.0,10.03,10.03,10.02,66339
LEGACY HOUSING CORP.,26.04,11.21,26.19,26.19,24.86,66143
AMTECH SYSTEMS INC.,5.79,7.82,5.35,5.82,5.35,66137
UNITED MARITIME,2.42,11.22,2.45,2.48,2.42,65992
INFLARX N.V.,1.38,2.99,1.44,1.44,1.36,65990
MIDDLESEX WATER CO.,60.95,10.49,61.4,63.33,59.91,65891
SENTI BIOSCIENCES INC.,1.74,14.92,1.78,1.81,1.65,65883
STOCK YARDS BANCORP INC.,55.27,10.61,55.49,55.58,54.65,65402
CARDIO DIAGNOSTICS HLD.,0.4427,11.07,0.44,0.4589,0.423,65390
ARCA BIOPHARMA INC.,2.81,14.75,2.94,3.05,2.75,65375
LIMONEIRA CO,20.52,11.25,20.83,20.83,20.09,65067
CONSOLIDATED WATER CO.,26.61,12.24,27.39,27.39,26.36,64720
MARKETWISE INC.,1.08,5.88,1.05,1.08,1.0,64689
ARMLOGI HOLDING,4.9,5.15,4.67,4.9,4.66,64657
AVIAT NETWORKS INC.,27.47,13.38,28.36,28.36,27.19,64516
INNOVATIVE SOLUTIONS AND SUPPORT,6.76,9.92,6.7,6.83,6.45,64482
OVID THERAPEUTICS INC.,0.8957,12.11,0.9193,0.9193,0.852,64339
LIFEWAY FOODS INC.,11.37,0.26,11.29,11.46,11.14,64299
ARBE ROBOTICS,2.02,10.98,2.04,2.05,2.01,64264
CURIOSITYSTREAM INC.,1.14,4.59,1.08,1.15,1.08,64166
NN INC.,3.35,10.59,3.39,3.41,3.29,64137
INFORMATION SERVICES GROUP,3.2,11.23,3.24,3.27,3.16,64035
NEOVOLTA INC.,2.63,0.0,2.63,2.75,2.52,63587
SADOT GROUP INC.,0.4415,7.63,0.42,0.47,0.4,63388
BRAGG GAMING GROUP INC.,5.01,0.2,5.0,5.11,4.94,63363
PHIBRO ANIMAL HEALTH,17.61,0.86,17.49,17.61,17.39,63338
JOURNEY MEDICAL,4.98,0.4,5.0,5.15,4.93,63212
NUTEX HEALTH INC.,10.1,27.85,8.25,10.31,8.25,63186
ARMADA ACQUISITION,11.39,10.58,10.42,12.2,8.7,63029
COLUMBIA FINANCIAL INC.,16.39,11.62,16.63,16.63,16.14,62844
AFYA LTD.,17.76,3.5,17.26,17.78,17.22,62790
BIODESIX INC.,1.59,13.05,1.6,1.62,1.58,62627
LIFETIME BRANDS INC.,6.95,13.61,7.09,7.27,6.92,62292
COMPASS DIGITAL ACQUISITION,10.9,0.0,11.2,11.2,10.89,62246
WRAP TECHNOLOGIES INC.,1.51,12.58,1.57,1.58,1.5,62230
PREDICTIVE ONCOLOGY INC.,0.96,11.92,0.9809,0.998,0.955,62147
SPERO THERAPEUTICS INC.,1.28,1.59,1.28,1.29,1.25,62144
VINCI PARTNERS INVESTMENTS,10.3,0.49,10.28,10.32,10.18,61564
FOCUS IMPACT ACQUISITION,11.25,0.0,11.28,11.28,11.24,61327
BRIGHTHOUSE FINANCIAL,23.38,11.39,23.66,23.66,23.18,61033
MURAL ONCOLOGY PLC,3.3,0.92,3.26,3.31,3.26,60702
QURATE RETAIL,38.98,2.18,38.3,39.66,38.3,60622
BRANCHOUT FOOD INC.,0.7125,10.01,0.74,0.74,0.7,60594
UNITED STATES LIME & MINERALS,72.67,0.93,72.32,72.96,71.5,60441
MATERIALISE NV ADS,5.5,0.92,5.43,5.53,5.43,60423
BEAM GLOBAL,5.38,12.0,5.48,5.53,5.28,60362
ORAMED PHARMACEUTICALS INC.,2.34,11.27,2.34,2.39,2.31,60347
CONCRETE PUMPING HLD.,5.89,11.83,6.0,6.01,5.86,60013
RENEO PHARMACEUTICALS INC.,1.35,0.0,1.35,1.36,1.34,59778
SYNTEC OPTICS HLD.,1.1,10.9,1.15,1.19,1.08,59772
RF ACQUISITION CORP II,10.08,0.0,10.08,10.08,10.08,59685
EUROSEAS LTD.,41.7,4.04,40.2,41.99,39.76,59455
RED VIOLET INC.,26.84,14.14,28.74,28.74,26.82,59400
LIBERTY MEDIA CORP.,37.43,1.13,37.15,37.48,36.58,59322
LENZ THERAPEUTICS INC.,23.78,11.41,24.02,24.38,23.32,59225
SMX (SECURITY MATTERS) PUBLIC,3.83,4.64,3.84,4.29,3.67,59215
FIRST MID BANCSHARES INC.,37.24,11.12,37.95,38.01,36.7,59121
HOTH THERAPEUTICS INC.,0.6101,12.54,0.626,0.628,0.6,58846
EVERGREEN CORP.,11.6,0.17,11.58,11.62,11.58,58824
MILLICOM INTERNATIONAL CELLULAR S.A.,25.61,0.08,25.5,25.79,25.49,58632
ACLARION INC.,0.2807,10.64,0.29,0.29,0.272,58538
SYROS PHARMACEUTICALS INC.,5.07,11.93,5.2,5.22,4.85,58481
1STDIBS.COM INC.,4.01,10.5,4.01,4.14,3.93,58468
OKYO PHARMA LTD.,0.995,0.51,1.0,1.0,0.98,58383
GD CULTURE GROUP,1.56,1.3,1.5,1.61,1.44,58293
U.S. ENERGY CORP.,0.917,11.5,0.96,0.96,0.9,58234
LAKELAND FINANCIAL,61.59,11.01,61.95,62.04,61.04,58137
HARTE HANKS INC.,7.17,112.67,8.0,8.0,7.03,58096
SPI ENERGY CO.,0.28,13.78,0.2819,0.2954,0.271,57911
ROCKY BRANDS INC.,28.9,4.56,27.56,30.05,27.56,57733
LUNA INNOVATIONS INC.,2.59,11.89,2.6,2.7,2.57,57637
PROFOUND MEDICAL,9.35,12.81,9.49,10.25,9.35,57484
GREENPOWER MOTOR CO.,0.81,17.95,0.89,0.92,0.7901,57220
SUNRISE REALTY TRUST INC.,10.9,10.37,11.06,11.21,10.8,57193
SPAR GROUP INC.,1.93,12.53,1.95,2.03,1.91,56952
MONARCH CASINO & RESORT INC.,73.11,10.72,73.18,73.41,72.64,56791
ANTELOPE ENTERPRISE HLD.,2.96,11.33,2.74,3.01,2.7,56539
CARTER BANKSHARES INC.,15.61,11.14,15.76,15.76,15.44,56516
WALDENCAST PLC ORD.,2.74,13.18,2.79,2.88,2.61,56434
SAVERONE 2014,0.275,3.81,0.26,0.2753,0.25,56330
ATN INTERNATIONAL INC.,25.3,12.8,25.89,26.34,25.08,56307
CAVCO INDUSTRIES INC.,368.1,0.46,365.29,370.47,365.29,56241
THIRD COAST BANCSHARES INC.,21.87,2.34,21.28,21.92,21.11,56183
KANDI TECHNOLOGIES GROUP INC.,1.75,1.74,1.82,1.82,1.71,56112
KINGSTONE COMPANIES INC,7.35,3.81,7.14,7.49,7.14,56003
REVELATION BIOSCIENCES INC.,1.0,14.76,1.02,1.07,0.99,55929
